5.6M	mendel/weston-imx
15M	mendel/imx-atf
38M	mendel/imx-gst-plugins-bad
748K	mendel/wayland-protocols-imx
28M	mendel/imx-board-wlan
14M	mendel/bluez-imx
28M	mendel/imx-gst-plugins-base
929M	mendel/linux-imx
6.7M	mendel/imx-firmware
21M	mendel/tools
72M	mendel/packages
28M	mendel/imx-gst-plugins-good
200K	mendel/build
3.7M	mendel/libdrm-imx
100K	mendel/board
36K	mendel/manifest
12G	mendel/out
120M	mendel/uboot-imx
21M	mendel/imx-gstreamer
16K	mendel/prebuilts
56K	mendel/docs
1.6G	mendel/.repo
2.2G	mendel/cache
8.0M	mendel/imx-gst1.0-plugin
17G	mendel
